feature,variable_name,description,bank_finalized,feature_family,transform_family,window,direction,availability_class,sensitive,sensitive_kind,leakage_status,semantic_tags
F15,R_NON_CASH_CHQ_TXN_DB_L7_14D,Ratio of Non Cash Non Cheque Debit txns - last 7 to 14D,False,NON_CASH_CHQ,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|NON_CASH_CHQ|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F16,R_NON_CASH_CHQ_AMT_L7_14D,Ratio of Non Cash Non Cheque Total Amount - last 7 to 14D,False,NON_CASH_CHQ,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|NON_CASH_CHQ|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F17,R_NON_CASH_CHQ_AMT_CR_L7_14D,Ratio of Non Cash Non Cheque Credit Amount - last 7 to 14D,False,NON_CASH_CHQ,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|NON_CASH_CHQ|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F18,R_NON_CASH_CHQ_AMT_DB_L7_14D,Ratio of Non Cash Non Cheque Debit Amount - last 7 to 14D,False,NON_CASH_CHQ,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|NON_CASH_CHQ|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F19,R_CI_NON_CASH_CHQ_TXN_L7_14D,Ratio of Customer Induced Non Cash Non Cheque Total txns - last 7 to 14D,False,NON_CASH_CHQ,RATIO_CREDIT_INTENSITY,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,NON_CASH_CHQ|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F20,R_CI_NON_CASH_CHQ_TXN_CR_L7_14D,Ratio of Customer Induced Non Cash Non Cheque Credit txns - last 7 to 14D,False,NON_CASH_CHQ,RATIO_CREDIT_INTENSITY,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|NON_CASH_CHQ|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F21,R_CI_NON_CASH_CHQ_TXN_DB_L7_14D,Ratio of Customer Induced Non Cash Non Cheque Debit txns - last 7 to 14D,False,NON_CASH_CHQ,RATIO_CREDIT_INTENSITY,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|NON_CASH_CHQ|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F22,R_CI_NON_CASH_CHQ_AMT_L7_14D,Ratio of Customer Induced Non Cash Non Cheque Total Amount - last 7 to 14D,False,NON_CASH_CHQ,RATIO_CREDIT_INTENSITY,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|NON_CASH_CHQ|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|WINDOW_L7_14D
F23,R_CI_NON_CASH_CHQ_AMT_CR_L7_14D,Ratio of Customer Induced Non Cash Non Cheque Credit Amount - last 7 to 14D,False,NON_CASH_CHQ,RATIO_CREDIT_INTENSITY,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|NON_CASH_CHQ|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|WINDOW_L7_14D
F24,R_CI_NON_CASH_CHQ_AMT_DB_L7_14D,Ratio of Customer Induced Non Cash Non Cheque Debit Amount - last 7 to 14D,False,NON_CASH_CHQ,RATIO_CREDIT_INTENSITY,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|NON_CASH_CHQ|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|WINDOW_L7_14D
F25,R_CI_TXN_L7_14D,Ratio of Customer Induced Total txns - last 7 to 14D,False,CASH_INTENSIVE,RATIO_CREDIT_INTENSITY,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,CASH_INTENSIVE|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F26,R_CI_TXN_CR_L7_14D,Ratio of Customer Induced Credit txns - last 7 to 14D,False,CASH_INTENSIVE,RATIO_CREDIT_INTENSITY,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CASH_INTENSIVE|CREDIT|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F27,R_CI_TXN_DB_L7_14D,Ratio of Customer Induced Debit txns - last 7 to 14D,False,CASH_INTENSIVE,RATIO_CREDIT_INTENSITY,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,CASH_INTENSIVE|DEBIT|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F28,R_CI_AMT_L7_14D,Ratio of Customer Induced Total Amount - last 7 to 14D,False,CASH_INTENSIVE,RATIO_CREDIT_INTENSITY,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|CASH_INTENSIVE|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|WINDOW_L7_14D
F29,R_CI_AMT_CR_L7_14D,Ratio of Customer Induced Credit Amount - last 7 to 14D,False,CASH_INTENSIVE,RATIO_CREDIT_INTENSITY,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CASH_INTENSIVE|CREDIT|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|WINDOW_L7_14D
F30,R_CI_AMT_DB_L7_14D,Ratio of Customer Induced Debit Amount - last 7 to 14D,False,CASH_INTENSIVE,RATIO_CREDIT_INTENSITY,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|CASH_INTENSIVE|DEBIT|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|WINDOW_L7_14D
F31,R_ATM_TXN_L7_14D,Ratio of ATM Total txns - last 7 to 14D,False,ATM,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,ATM|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F32,R_ATM_TXN_DB_L7_14D,Ratio of ATM Debit txns - last 7 to 14D,False,ATM,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,ATM|DEBIT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F33,R_ATM_AMT_L7_14D,Ratio of ATM Total Amount - last 7 to 14D,False,ATM,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|ATM|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F34,R_ATM_AMT_DB_L7_14D,Ratio of ATM Debit Amount - last 7 to 14D,False,ATM,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|ATM|DEBIT|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F35,R_BI_FEES_CHRGS_TXN_L7_14D,Ratio of Bank Induced Fees Charges Total txns - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,FEES_AND_CHARGES|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F36,R_BI_FEES_CHRGS_TXN_CR_L7_14D,Ratio of Bank Induced Fees Charges Credit txns - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|FEES_AND_CHARGES|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F37,R_BI_FEES_CHRGS_TXN_DB_L7_14D,Ratio of Bank Induced Fees Charges Debit txns - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|FEES_AND_CHARGES|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F38,R_BI_FEES_CHRGS_AMT_L7_14D,Ratio of Bank Induced Fees Charges Total Amount - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|FEES_AND_CHARGES|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F39,R_BI_FEES_CHRGS_AMT_CR_L7_14D,Ratio of Bank Induced Fees Charges Credit Amount - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|FEES_AND_CHARGES|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F40,R_BI_FEES_CHRGS_AMT_DB_L7_14D,Ratio of Bank Induced Fees Charges Debit Amount - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|FEES_AND_CHARGES|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F41,R_CI_FEES_CHRGS_TXN_L7_14D,Ratio of Customer Induced Fees Charges Total txns - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_CREDIT_INTENSITY,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,FEES_AND_CHARGES|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F42,R_CI_FEES_CHRGS_TXN_CR_L7_14D,Ratio of Customer Induced Fees Charges Credit txns - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_CREDIT_INTENSITY,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|FEES_AND_CHARGES|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F43,R_CI_FEES_CHRGS_TXN_DB_L7_14D,Ratio of Customer Induced Fees Charges Debit txns - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_CREDIT_INTENSITY,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|FEES_AND_CHARGES|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F44,R_CI_FEES_CHRGS_AMT_L7_14D,Ratio of Customer Induced Fees Charges Total Amount - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_CREDIT_INTENSITY,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|FEES_AND_CHARGES|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|WINDOW_L7_14D
F45,R_CI_FEES_CHRGS_AMT_CR_L7_14D,Ratio of Customer Induced Fees Charges Credit Amount - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_CREDIT_INTENSITY,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|FEES_AND_CHARGES|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|WINDOW_L7_14D
F46,R_CI_FEES_CHRGS_AMT_DB_L7_14D,Ratio of Customer Induced Fees Charges Debit Amount - last 7 to 14D,False,FEES_AND_CHARGES,RATIO_CREDIT_INTENSITY,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|FEES_AND_CHARGES|RATIO_CREDIT_INTENSITY|SHORT_WINDOW|WINDOW_L7_14D
F47,R_GST_TXN_L7_14D,Ratio of GST Total txns - last 7 to 14D,False,GST,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,GST|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F48,R_GST_TXN_CR_L7_14D,Ratio of GST Credit txns - last 7 to 14D,False,GST,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|GST|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F49,R_GST_TXN_DB_L7_14D,Ratio of GST Debit txns - last 7 to 14D,False,GST,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|GST|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F50,R_GST_AMT_L7_14D,Ratio of GST Total Amount - last 7 to 14D,False,GST,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|GST|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F51,R_GST_AMT_CR_L7_14D,Ratio of GST Credit Amount - last 7 to 14D,False,GST,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|GST|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F52,R_GST_AMT_DB_L7_14D,Ratio of GST Debit Amount - last 7 to 14D,False,GST,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|GST|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F53,R_ELEC_XFER_TXN_L7_14D,Ratio of Online Transfer (IMPS+NEFT+RTGS) Total txns - last 7 to 14D,False,ELEC_XFER,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,ELEC_XFER|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F54,R_ELEC_XFER_TXN_CR_L7_14D,Ratio of Online Transfer (IMPS+NEFT+RTGS) Credit txns - last 7 to 14D,False,ELEC_XFER,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|ELEC_XFER|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F55,R_ELEC_XFER_TXN_DB_L7_14D,Ratio of Online Transfer (IMPS+NEFT+RTGS) Debit txns - last 7 to 14D,False,ELEC_XFER,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|ELEC_XFER|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F56,R_ELEC_XFER_AMT_L7_14D,Ratio of Online Transfer (IMPS+NEFT+RTGS) Total Amount - last 7 to 14D,False,ELEC_XFER,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|ELEC_XFER|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F57,R_ELEC_XFER_AMT_CR_L7_14D,Ratio of Online Transfer (IMPS+NEFT+RTGS) Credit Amount - last 7 to 14D,False,ELEC_XFER,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|ELEC_XFER|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F58,R_ELEC_XFER_AMT_DB_L7_14D,Ratio of Online Transfer (IMPS+NEFT+RTGS) Debit Amount - last 7 to 14D,False,ELEC_XFER,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|ELEC_XFER|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F59,R_UPI_XFER_TXNS_L7_14D,Ratio of UPI  Total txns - last 7 to 31D,False,UPI_XFER,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|UPI_XFER|WINDOW_L7_14D
F60,R_UPI_TXNS_CR_L7_14D,Ratio of UPI  Credit txns - last 7 to 14D,False,UPI,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|UPI|WINDOW_L7_14D
F61,R_UPI_TXNS_DB_L7_14D,Ratio of UPI  Credit txns - last 7 to 31D,False,UPI,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|UPI|WINDOW_L7_14D
F62,R_UPI_XFER_AMT_L7_14D,Ratio of UPI  Debit txns - last 7 to 14D,False,UPI_XFER,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|UPI_XFER|WINDOW_L7_14D
F63,R_UPI_AMT_CR_L7_14D,Ratio of UPI  Credit Amount - last 7 to 14D,False,UPI,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|RATIO_WINDOW|SHORT_WINDOW|UPI|WINDOW_L7_14D
F64,R_UPI_AMT_DB_L7_14D,Ratio of UPI  Debit Amount - last 7 to 14D,False,UPI,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|RATIO_WINDOW|SHORT_WINDOW|UPI|WINDOW_L7_14D
F65,R_NET_BNKING_TXN_L7_14D,Ratio of Net Banking Total txns - last 7 to 14D,False,NET_BANKING,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,NET_BANKING|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F66,R_NET_BNKING_TXN_CR_L7_14D,Ratio of Net Banking Credit txns - last 7 to 14D,False,NET_BANKING,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|NET_BANKING|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F67,R_NET_BNKING_TXN_DB_L7_14D,Ratio of Net Banking Debit txns - last 7 to 14D,False,NET_BANKING,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|NET_BANKING|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F68,R_NET_BNKING_AMT_L7_14D,Ratio of Net Banking Total Amount - last 7 to 14D,False,NET_BANKING,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|NET_BANKING|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F69,R_NET_BNKING_AMT_CR_L7_14D,Ratio of Net Banking Credit Amount - last 7 to 14D,False,NET_BANKING,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|NET_BANKING|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F70,R_NET_BNKING_AMT_DB_L7_14D,Ratio of Net Banking Debit Amount - last 7 to 14D,False,NET_BANKING,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|NET_BANKING|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F71,R_MOB_BNKING_TXN_L7_14D,Ratio of Mobile Banking Total txns - last 7 to 14D,False,MOBILE_BANKING,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,MOBILE_BANKING|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F72,R_MBNKING_TXN_CR_L7_14D,Ratio of Mobile Banking Total Amount - last 7 to 14D,False,MOBILE_BANKING,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|MOBILE_BANKING|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F73,R_MBNKING_TXN_DB_L7_14D,Ratio of Mobile Banking Credit txns - last 7 to 14D,False,MOBILE_BANKING,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|MOBILE_BANKING|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F74,R_MOB_BNKING_AMT_L7_14D,Ratio of Mobile Banking Debit txns - last 7 to 14D,False,MOBILE_BANKING,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|MOBILE_BANKING|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F75,R_MBNKING_AMT_CR_L7_14D,Ratio of Mobile Banking Credit Amount - last 7 to 14D,False,MOBILE_BANKING,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|MOBILE_BANKING|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F76,R_MBNKING_AMT_DB_L7_14D,Ratio of Mobile Banking Debit Amount - last 7 to 14D,False,MOBILE_BANKING,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|MOBILE_BANKING|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F77,R_POS_PYMT_TXN_L7_14D,Ratio of Merchant Payment Total txns - last 7 to 14D,False,POS_MERCHANT,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,POS_MERCHANT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F78,R_POS_PYMT_TXN_DB_L7_14D,Ratio of Merchant Payment Debit txns - last 7 to 14D,False,POS_MERCHANT,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|POS_MERCHANT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F79,R_POS_PYMT_AMT_L7_14D,Ratio of Merchant Payment Total Amount - last 7 to 14D,False,POS_MERCHANT,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|POS_MERCHANT|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F80,R_POS_PYMT_AMT_DB_L7_14D,Ratio of Merchant Payment Debit Amount - last 7 to 14D,False,POS_MERCHANT,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|POS_MERCHANT|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F81,R_APB_TXN_L7_14D,Ratio of Aadhar Payment Bridge Total txns - last 7 to 14D,False,AADHAAR_PAYMENT_BRIDGE,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AADHAAR_PAYMENT_BRIDGE|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F82,R_APB_TXN_CR_L7_14D,Ratio of Aadhar Payment Bridge Credit txns - last 7 to 14D,False,AADHAAR_PAYMENT_BRIDGE,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AADHAAR_PAYMENT_BRIDGE|CREDIT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F83,R_APB_AMT_L7_14D,Ratio of Aadhar Payment Bridge Total Amount - last 7 to 14D,False,AADHAAR_PAYMENT_BRIDGE,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AADHAAR_PAYMENT_BRIDGE|AMOUNT|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
