experiment_id,timestamp,git_sha,dataset_sha,description_sha,model,feature_set,quarantines,cv_scheme,seed,primary_metric,metric_value,status,reason,artifact_path
EXP001.11,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_viewB_top_60,top_60,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.64543,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.12,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_viewC_top_15,top_15,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.02949,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.13,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_viewD_top_15,top_15,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.02059,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.14,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_viewE_top_60,top_60,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.30611,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.15,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_full_pool,full_pool,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.58743,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.16,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_30,top_30,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.68974,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.17,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_60,top_60,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.74082,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.18,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.76904,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.19,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,catboost_top_30,top_30,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.56136,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.20,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,catboost_top_60,top_60,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.69630,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.21,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,catboost_top_120,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.64670,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.22,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,tabpfn_top_60,top_60,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.91100,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP002.1,2026-08-13T14:06:25.482811+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,catboost,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested outer-fold PR-AUC (mean),0.80653,ACCEPTED,primary unbiased estimate for this research cycle,artifacts/metrics/nested_cv.json
EXP002.2,2026-08-13T14:06:25.482811+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,histgb,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested outer-fold PR-AUC (mean),0.76735,ACCEPTED,primary unbiased estimate for this research cycle,artifacts/metrics/nested_cv.json
EXP002.3,2026-08-13T14:06:25.482811+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested outer-fold PR-AUC (mean),0.75393,ACCEPTED,primary unbiased estimate for this research cycle,artifacts/metrics/nested_cv.json
EXP002.4,2026-08-13T14:06:25.482811+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested outer-fold PR-AUC (mean),0.70046,ACCEPTED,primary unbiased estimate for this research cycle,artifacts/metrics/nested_cv.json
EXP002.5,2026-08-13T14:06:25.482811+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,extratrees,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested outer-fold PR-AUC (mean),0.54839,ACCEPTED,primary unbiased estimate for this research cycle,artifacts/metrics/nested_cv.json
EXP002.6,2026-08-13T14:06:25.482811+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,logistic_l1l2,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested outer-fold PR-AUC (mean),0.16386,ACCEPTED,primary unbiased estimate for this research cycle,artifacts/metrics/nested_cv.json
EXP002.7,2026-08-13T14:06:25.482811+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,dummy_prevalence,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested outer-fold PR-AUC (mean),0.00910,ACCEPTED,primary unbiased estimate for this research cycle,artifacts/metrics/nested_cv.json
EXP003.1,2026-08-13T14:12:45+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,PR-AUC with bootstrap 95% CI (FLAT),0.76904,SUPERSEDED,"full metric battery, bootstrap CIs; secondary reading",artifacts/metrics/metric_battery.json
EXP003.2,2026-08-13T14:12:45+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost,,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 1 repeat, inner 4-fold",42,PR-AUC with bootstrap 95% CI (NESTED_PRELIMINARY),0.66792,SUPERSEDED,"full metric battery, bootstrap CIs; secondary reading",artifacts/metrics/metric_battery.json
EXP003.3,2026-08-13T14:12:45+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,retired_gen1_pre_firewall_stack,,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,single held-out split (historical),42,PR-AUC with bootstrap 95% CI (HOLDOUT_REFERENCE),0.86077,REJECTED_LEAKAGE,"full metric battery, bootstrap CIs; secondary reading",artifacts/metrics/metric_battery.json
EXP003.4,2026-08-13T14:12:45+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost,,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,PR-AUC with bootstrap 95% CI (NESTED),0.75393,ACCEPTED,"full metric battery, bootstrap CIs; secondary reading",artifacts/metrics/metric_battery.json
EXP003.5,2026-08-13T14:12:45+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,catboost,,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,PR-AUC with bootstrap 95% CI (NESTED),0.80653,ACCEPTED,"full metric battery, bootstrap CIs; primary",artifacts/metrics/metric_battery.json
EXP004.1,2026-07-10T19:16:26.663543+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_baseline,clean baseline,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC,0.61416,ACCEPTED,leakage-free control arm for the F3912 probe,artifacts/metrics/with_vs_without_f3912.json
EXP004.2,2026-07-10T19:16:26.663543+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,REJECTED_leakage_lgbm_with_F3912,clean baseline + F3912,F2230|F3892|F3898|F3899|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0 (F3912 deliberately re-admitted),flat stratified 5-fold x 3 repeats,42,OOF PR-AUC,0.94190,REJECTED_LEAKAGE,REJECTED LEAKAGE / AVAILABILITY EXPERIMENT - NOT A VALID COMPETITION RESULT. Post-resolution field; exists only as evidence of the inflation it causes,artifacts/metrics/with_vs_without_f3912.json
EXP005.1,2026-08-12T09:09:49.290898+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost,behavioral_profile_only,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.70093,ACCEPTED,"alert-context ablation; delta 0.03989. ALERT_CONTEXT contributes a modest, plausible gain and is retained",artifacts/metrics/alert_context_ablation_v2.json
EXP005.2,2026-08-12T09:09:49.290898+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost,with_alert_context,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.74082,ACCEPTED,"alert-context ablation; delta 0.03989. ALERT_CONTEXT contributes a modest, plausible gain and is retained",artifacts/metrics/alert_context_ablation_v2.json
EXP006.1,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus TOTAL_ALL_RAILS,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.68344,DIAGNOSTIC,"semantic-family dropout, relative drop 0.12150 - worst family",artifacts/metrics/family_dropout_v2.json
EXP006.2,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus UPI,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.71167,DIAGNOSTIC,"semantic-family dropout, relative drop 0.08520",artifacts/metrics/family_dropout_v2.json
EXP006.3,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus NON_CASH_CHQ,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.72559,DIAGNOSTIC,"semantic-family dropout, relative drop 0.06730",artifacts/metrics/family_dropout_v2.json
EXP006.4,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus BALANCE,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.73354,DIAGNOSTIC,"semantic-family dropout, relative drop 0.05710",artifacts/metrics/family_dropout_v2.json
EXP006.5,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus LOAN,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.73747,DIAGNOSTIC,"semantic-family dropout, relative drop 0.05210",artifacts/metrics/family_dropout_v2.json
EXP006.6,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus ENGINEERED_META,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.73979,DIAGNOSTIC,"semantic-family dropout, relative drop 0.04910",artifacts/metrics/family_dropout_v2.json
EXP006.7,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus ELEC_XFER,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.73981,DIAGNOSTIC,"semantic-family dropout, relative drop 0.04910",artifacts/metrics/family_dropout_v2.json
EXP006.8,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus MOBILE_BANKING,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.74661,DIAGNOSTIC,"semantic-family dropout, relative drop 0.04030",artifacts/metrics/family_dropout_v2.json
EXP006.9,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus CASH,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.74984,DIAGNOSTIC,"semantic-family dropout, relative drop 0.03620",artifacts/metrics/family_dropout_v2.json
EXP006.10,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus NET_BANKING,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.76258,DIAGNOSTIC,"semantic-family dropout, relative drop 0.01980",artifacts/metrics/family_dropout_v2.json
EXP006.11,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus GST,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.76569,DIAGNOSTIC,"semantic-family dropout, relative drop 0.01580",artifacts/metrics/family_dropout_v2.json
EXP006.12,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus ATM,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.76802,DIAGNOSTIC,"semantic-family dropout, relative drop 0.01280",artifacts/metrics/family_dropout_v2.json
EXP006.13,2026-08-12T08:55:47.876112+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set minus UPI_XFER,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC after family removal,0.78728,DIAGNOSTIC,"semantic-family dropout, relative drop -0.01200",artifacts/metrics/family_dropout_v2.json
EXP007.1,2026-07-10T21:43:21.314779+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,tabpfn,,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC,0.89696,CHALLENGER_ONLY,"1 repeat(s), 3144.30000s; challenger only - promotion needs repeated nested evidence (§52)",artifacts/metrics/advanced_models.json
EXP007.2,2026-07-10T21:43:21.314779+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,tabicl,,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,not scored,,NOT_RUN,SKIPPED: package not installed; TabICL(v2) requires GPU-class resources for its in-context regime - Mode A (CPU 16GB) excludes it. Documented as a Mod,artifacts/metrics/advanced_models.json
EXP007.3,2026-07-10T21:43:21.314779+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,autogluon,,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,not scored,,NOT_RUN,SKIPPED: AutoGluon does not support Python 3.13 at build time (requires <=3.12); benchmark documented as a roadmap item on a compatible environment,artifacts/metrics/advanced_models.json
EXP008.1,2026-08-12T16:32:53.904016+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,histgb,"top_120, no missingness signature",F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested PR-AUC (mean),0.79068,DIAGNOSTIC,control arm of the missingness ablation,artifacts/metrics/missingness_ablation.json
EXP008.2,2026-08-12T16:32:53.904016+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,histgb,top_120 + missingness signature,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested PR-AUC (mean),0.84827,PROVISIONAL,"paired gain 0.04945 on identical folds, sign-test p 0.11847; provisional pending the no-FEES confirmation arm (§9.4)",artifacts/metrics/missingness_ablation.json
EXP009.1,2026-08-13T02:55:18.414139+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,histgb,"top_120, no missingness signature, FEES_AND_CHARGES excluded",F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested PR-AUC (mean),0.79068,DIAGNOSTIC,confirmation arm: does the gain survive without the untraceable FEES_AND_CHARGES cohort columns,artifacts/metrics/missingness_ablation_no_fees.json
EXP009.2,2026-08-13T02:55:18.414139+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,histgb,"top_120 + missingness signature, FEES_AND_CHARGES excluded",F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,"nested: outer stratified 5-fold x 3 repeats, inner 4-fold",42,nested PR-AUC (mean),0.86330,PROVISIONAL,confirmation arm: does the gain survive without the untraceable FEES_AND_CHARGES cohort columns,artifacts/metrics/missingness_ablation_no_fees.json
EXP010,2026-08-12T08:59:46.178960+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,PR-AUC mean over seeds (spread reported),0.76294,DIAGNOSTIC,"5 seeds, unpaired spread 0.09050 - this is the unpaired noise floor, not a yardstick for paired tests",artifacts/metrics/seed_variance_v2.json
EXP011,2026-08-12T08:46:20.371361+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,xgboost_top_120,champion set,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,PR-AUC under positive removal (mean),0.72398,DIAGNOSTIC,15 rounds removing 0.12500 of training positives; relative drop 0.03370,artifacts/metrics/stability_stress_v2.json
