feature,dtype,n_missing,missing_rate,n_unique,is_constant,top_value_share,is_quasi_constant,zero_rate,min,max,mean,std,q01,q25,q50,q75,q99,is_integer_valued,top_values,content_hash,duplicate_of
F27,Float64,680,0.074873,97,false,0.156153,false,0.007498,0.0,1.0,0.6412187574387052,0.21496685747436767,0.14010000000000006,0.5,0.6,0.78,1.0,false,,1a205bb19bf349997dd8d4b9fb20c57771bcc34793f15923be53368430362b4d,F21
F28,Float64,404,0.044484,101,false,0.182991,false,0.008066,0.0,1.0,0.7105853883383269,0.24198019853200878,0.04,0.53,0.72,0.96,1.0,false,,7224aa73c3643be45be56b8a26029c5eb3482947e838e9f43549462524279148,F22
F29,Float64,1007,0.110879,101,false,0.181424,false,0.04322,0.0,1.0,0.6676185758513933,0.28578346069036914,0.0,0.49,0.68,0.95,1.0,false,,93d984b91c14875a37932122b5c05073dd601e40cccb2e56ec9d58d5f4e64e6c,F23
F30,Float64,680,0.074873,101,false,0.187931,false,0.007974,0.0,1.0,0.718736015234468,0.2388709199768602,0.03,0.54,0.73,0.96,1.0,false,,3167532a8a782d54ab670d84da34d1ebfa48a337907dcd9c36dd062dfda59c55,F24
F31,Float64,7726,0.850694,43,false,0.404867,false,0.276549,0.0,1.0,0.573141592920354,0.4164770218691005,0.0,0.0,0.63,1.0,1.0,false,,f54daa82f7e4c3d819e3ed55793eb0b7e7ae008b0aa3e1f39c4c441e715d5ce0,
F32,Float64,7726,0.850694,43,false,0.404867,false,0.276549,0.0,1.0,0.573141592920354,0.4164770218691005,0.0,0.0,0.63,1.0,1.0,false,,f54daa82f7e4c3d819e3ed55793eb0b7e7ae008b0aa3e1f39c4c441e715d5ce0,F31
F33,Float64,7726,0.850694,89,false,0.404867,false,0.276549,0.0,1.0,0.5767699115044249,0.4236829777597337,0.0,0.0,0.67,1.0,1.0,false,,4725be5ce8a1944aa17445962b07afc8da8e61301f78fd75d7a8405be0c347a8,
F34,Float64,7726,0.850694,89,false,0.404867,false,0.276549,0.0,1.0,0.5767699115044249,0.4236829777597337,0.0,0.0,0.67,1.0,1.0,false,,4725be5ce8a1944aa17445962b07afc8da8e61301f78fd75d7a8405be0c347a8,F33
F35,Float64,7718,0.849813,28,false,0.574047,false,0.313783,0.0,1.0,0.6297287390029326,0.4560979788380666,0.0,0.0,1.0,1.0,1.0,false,,b295c3c9d8a396849d7910923119cdd0cab3950d55990be8c68dbe506ff59037,
F36,Float64,9067,0.998348,3,false,0.466667,true,0.4,0.0,1.0,0.5333333333333333,0.4642796092394706,0.0,0.0,0.5,1.0,1.0,false,1.0:7; 0.0:6; 0.5:2,ae04593d40ce88f14af5b7e5d859275a261f717d306bf5529dae3494b3366156,
F37,Float64,7721,0.850143,27,false,0.573843,false,0.314475,0.0,1.0,0.6291917707567966,0.45623343000142896,0.0,0.0,1.0,1.0,1.0,false,,ee350d638956932862d6ab219799f6980f4ec3414cbc4b366df28bc59d45b701,
F38,Float64,7718,0.849813,73,false,0.576979,false,0.315249,0.0,1.0,0.626642228739003,0.4635270726430535,0.0,0.0,1.0,1.0,1.0,false,,2ad3035af9b32a453aa2ae874911464897a790506a6b99e750418a9088798150,
F39,Float64,9067,0.998348,4,false,0.466667,true,0.4,0.0,1.0,0.5413333333333334,0.4855082102521256,0.0,0.0,0.95,1.0,1.0,false,1.0:7; 0.0:6; 0.95:1; 0.17:1,197026e5b21493b1e09cec4a246e7793c4be1125924049f801aa13106c4e0a30,
F40,Float64,7721,0.850143,74,false,0.576782,false,0.315944,0.0,1.0,0.6261866274797943,0.46365945961110583,0.0,0.0,1.0,1.0,1.0,false,,e7dd1d8068965d353f85a8153a268d515e1cd188cba7c5591629bc01fc98fec2,
F41,Float64,7629,0.840013,44,false,0.544391,false,0.231934,0.0,1.0,0.6614865794907089,0.41666901590479744,0.0,0.33,1.0,1.0,1.0,false,,e2825fbe20cada0b22118c6b32543685c68efd4c483b8cdbec6e46fce59f859a,
F42,Float64,9013,0.992403,15,false,0.362319,true,0.275362,0.0,1.0,0.5543478260869565,0.4021084944835831,0.0,0.0,0.57,1.0,1.0,false,1.0:25; 0.0:19; 0.5:5; 0.67:4; 0.33:4,34ba0b58e8c186591ddc105fa371036d3263f5018d1dab62476a8ef0ac658ad3,
F43,Float64,7689,0.84662,43,false,0.552046,false,0.230438,0.0,1.0,0.6659942569992822,0.41682925103493634,0.0,0.33,1.0,1.0,1.0,false,,0cd7020c11dc979366b9bb9b6b3b7ce1e27e69a4e88cf5860cd6f800f36de651,
F44,Float64,7629,0.840013,91,false,0.545767,false,0.234687,0.0,1.0,0.6611699931176875,0.4260814030413525,0.0,0.13,1.0,1.0,1.0,false,,85ec8b17a26ee28530a3f38f540b1c48f3ebdc0bef8b50c9620272ae0cf4a5a7,
F45,Float64,9013,0.992403,19,false,0.362319,true,0.275362,0.0,1.0,0.5597101449275363,0.40724941976273027,0.0,0.0,0.55,1.0,1.0,false,1.0:25; 0.0:19; 0.53:3; 0.83:2; 0.63:2,821b2a65e053ceafdb75c80e3da5d1d6f953dc7ccd9fbc283334a85d53da8f4e,
F46,Float64,7689,0.84662,88,false,0.553482,false,0.233309,0.0,1.0,0.6651040918880115,0.42625517527466983,0.0,0.14,1.0,1.0,1.0,false,,53308adcb51f74f948fff8884a69d1ca0cac0aa67896eb8c13b2cd3927be89f0,
F47,Float64,7928,0.872935,25,false,0.567591,false,0.567591,0.0,1.0,0.3863778162911612,0.46389491436129665,0.0,0.0,0.0,1.0,1.0,false,0.0:655; 1.0:386; 0.5:53; 0.67:11; 0.4:6,d644392fa9a93b0605e03cfb8395a4e8cb77a99948716545b3a58aaf484c0df5,
F48,Float64,9020,0.993173,6,false,0.596774,true,0.274194,0.0,1.0,0.6796774193548387,0.4386488335417454,0.0,0.0,1.0,1.0,1.0,false,1.0:37; 0.0:17; 0.5:3; 0.93:2; 0.67:2,7f3519e331755d5cffac2babef97b4b35e0433650dc4495398ce645d496ff1b3,
F49,Float64,7968,0.87734,23,false,0.586176,false,0.586176,0.0,1.0,0.37195691202872533,0.4624966727346738,0.0,0.0,0.0,1.0,1.0,false,0.0:653; 1.0:365; 0.5:48; 0.67:8; 0.4:6,6d42b3083c48b60ef08f2c085a1ecd2b6898c8b86fb14cabd141b17a788518a9,
F50,Float64,7928,0.872935,66,false,0.570191,false,0.570191,0.0,1.0,0.3864124783362218,0.4728696161548333,0.0,0.0,0.0,1.0,1.0,false,,3349db6ec3e2ec631bee6583dd0b6ff753310a38f21699a32838337a0edb9161,
F51,Float64,9020,0.993173,9,false,0.596774,true,0.274194,0.0,1.0,0.669516129032258,0.4464282170356851,0.0,0.0,1.0,1.0,1.0,false,1.0:37; 0.0:17; 0.9:2; 0.12:1; 0.38:1,7865d3a6c9bfb2691724e4b5d53b95ab88d1a339499abdfd9a55fe015b9b1212,
F52,Float64,7968,0.87734,59,false,0.588869,false,0.588869,0.0,1.0,0.37136445242369837,0.46992925671070046,0.0,0.0,0.0,1.0,1.0,false,,58466dbde8e488e4dd78d584ae796b765e06ef98b773938e8ec39b46f1b01612,
F53,Float64,2467,0.271636,98,false,0.255933,false,0.070144,0.0,1.0,0.630727135298564,0.2921577149115615,0.0,0.47,0.6,1.0,1.0,false,,56e54d8250fb53fac7c1d80446a85e34f29b85f23dbd6164e1cb743e44252cab,
F54,Float64,3186,0.350804,93,false,0.239824,false,0.093792,0.0,1.0,0.6028290366350068,0.302544784485802,0.0,0.44,0.57,0.9,1.0,false,,6aabeb3b6f0def5553e66303a995d270b3b3e91ab857f3e655f38ea264e909ec,
F55,Float64,5693,0.626844,98,false,0.324875,false,0.06167,0.0,1.0,0.6614812629094128,0.3027126128105936,0.0,0.48,0.64,1.0,1.0,false,,7dbfb44dd2e7967ba2033c307696b5fa469d550244c17c37c42ea49ff6699702,
F56,Float64,2467,0.271636,101,false,0.277702,false,0.073772,0.0,1.0,0.661599395313681,0.3174456532480391,0.0,0.46,0.69,1.0,1.0,false,,23a4e425b46e8cb642fdefe13c805dadaad8a1979b3c9f19a2d473c7a0d77c4a,
F57,Float64,3186,0.350804,101,false,0.259498,false,0.098711,0.0,1.0,0.6335871777476255,0.33304443271723977,0.0,0.43,0.66,1.0,1.0,false,,4df881e328d63ccff039ff504ca9dff3f43a499b4ecaab304921db34d0cffca8,
F58,Float64,5693,0.626844,100,false,0.335497,false,0.06226,0.0,1.0,0.6773856594865741,0.31117773640829594,0.0,0.47,0.69,1.0,1.0,false,,184f2a0f330c406144cfe45ec3c3cd1e3b3fb61b0840c84c5b0842ddce5e428e,
F59,Float64,2340,0.257652,97,false,0.103975,false,0.02032,0.0,1.0,0.6106007119549095,0.20941842422318246,0.0,0.49,0.58,0.72,1.0,false,,fb01897834ed0fc7eb85dcae4f953d618a16b35643efb45fcb59773f6b869f2d,
F60,Float64,2940,0.323717,98,false,0.16493,false,0.074569,0.0,1.0,0.5829387821556496,0.2799616940647705,0.0,0.43,0.56,0.78,1.0,false,,e90fa2dcb56fe5d854b3bc0dc44e616e4b5ee22f396e4ca289061fa78a3c120c,
F61,Float64,3323,0.365889,97,false,0.080917,false,0.012155,0.0,1.0,0.6089581524570238,0.19634918845083973,0.0,0.49,0.59,0.71,1.0,false,,ff800e6d542686fdbdb17e8a921e25584452fb0686e02eb2e24380c2d6467ceb,
F62,Float64,2340,0.257652,101,false,0.129487,false,0.020914,0.0,1.0,0.6851364580243251,0.24057222660066466,0.0,0.52,0.68,0.9,1.0,false,,20c38f2db74aa200a2ee54e638775459a43a73b2498a238332a3d4677a17349c,
F63,Float64,2940,0.323717,101,false,0.187724,false,0.082709,0.0,1.0,0.6177645718007164,0.32338157700404674,0.0,0.42,0.64,0.94,1.0,false,,2dd814188268f54bdf469504af6cf892f174fb7f6f91096f7c82e56e85346b82,
F64,Float64,3323,0.365889,101,false,0.107831,false,0.013544,0.0,1.0,0.6966122590727557,0.23396653128716344,0.0,0.54,0.7,0.91,1.0,false,,4014d35b8777e6dfe7d84b06e27c0bf6108d49a6ece3fe120e009b0eab2372b8,
F65,Float64,4003,0.440762,96,false,0.320339,false,0.131719,0.0,1.0,0.609289230163418,0.33961548219621784,0.0,0.42,0.58,1.0,1.0,false,,9b39774b6643674a2ab3019a2b5c7d7fbf25c6d76225dd374bf13c2ef7bfde36,
F66,Float64,4444,0.48932,89,false,0.286977,false,0.145321,0.0,1.0,0.5852069857697283,0.33759471585317186,0.0,0.4,0.55,1.0,1.0,false,,6d53ba592d56d0bb48060640bb3ef40bee3e9a47bfc3a4f036367be6b70b960c,
F67,Float64,7792,0.857961,81,false,0.54186,false,0.17907,0.0,1.0,0.6865503875968992,0.3989849030821175,0.0,0.3525,1.0,1.0,1.0,false,,213c2e78ea758a4d8b27c49fb5730d21e4f25ff1cab66a1ff365bb03564fcd97,
F68,Float64,4003,0.440762,101,false,0.33609,false,0.135066,0.0,1.0,0.633175822012207,0.367506316535688,0.0,0.37,0.69,1.0,1.0,false,,40303be65cc9ef8a62281bb8823d1dc50144e6971d027f8dec39d05e127390c1,
F69,Float64,4444,0.48932,101,false,0.301639,false,0.148987,0.0,1.0,0.6067054764984906,0.36921377828464874,0.0,0.33,0.64,1.0,1.0,false,,3c6ecc2fc49964239c660c9b83bd0c3e422c112ddeb7f4e8f5ffb2ffc1230f39,
F70,Float64,7792,0.857961,97,false,0.548062,false,0.182171,0.0,1.0,0.698108527131783,0.4059207017741746,0.0,0.3525,1.0,1.0,1.0,false,,9343e1a4192f066d20eb6b24539dbdaaa4a87ef7a272f63cdb2bcf5cb2213a3c,
F71,Float64,7569,0.833407,83,false,0.351619,false,0.128883,0.0,1.0,0.6312557832121612,0.34602875346324774,0.0,0.42,0.66,1.0,1.0,false,,c294e8aff8ba92b2ddebbe35973527e25db39fdbe9e9d812e66d2fa3277f80d1,
F72,Float64,8368,0.921383,67,false,0.369748,false,0.197479,0.0,1.0,0.600812324929972,0.38260665903035534,0.0,0.33,0.67,1.0,1.0,false,,c01158949c09a35e135f69c11fe0948fb09ee002b1e65f564d40ddedb14d6b10,
F73,Float64,7904,0.870293,83,false,0.357385,false,0.119694,0.0,1.0,0.6372665534804755,0.34218711099669447,0.0,0.43,0.66,1.0,1.0,false,,c44e2615357ddf777250e4535fe9e920a6e991465946055fb9ffa962b240c209,
F74,Float64,7569,0.833407,97,false,0.361533,false,0.132188,0.0,1.0,0.6508195637805685,0.3595269195893311,0.0,0.42,0.72,1.0,1.0,false,,f159dd8661b2f7fcc93114d92742683fe431213b4d1986341eb1158b411db727,
F75,Float64,8368,0.921383,91,false,0.379552,false,0.203081,0.0,1.0,0.6145378151260504,0.39698671999568125,0.0,0.2625,0.72,1.0,1.0,false,,bab886fadfae939854629ca14b2ed578810367c2f2f4feac83d05146d8e41c26,
F76,Float64,7904,0.870293,93,false,0.368421,false,0.120543,0.0,1.0,0.6594991511035655,0.35364294350847303,0.0,0.43,0.73,1.0,1.0,false,,0cf316f9c7606da2316c2929a6f61fa67e839a6538c2e8e3a41c77c41474fd6f,
F77,Float64,8734,0.961682,27,false,0.474138,false,0.261494,0.0,1.0,0.615632183908046,0.4207852570224086,0.0,0.0,0.75,1.0,1.0,false,,b0ac10765618e2586ae23add6a8916ab6d0df0cf47f73e1e04e0f17a5bbfaf90,
F78,Float64,8734,0.961682,27,false,0.474138,false,0.261494,0.0,1.0,0.6154310344827587,0.4208483336742598,0.0,0.0,0.75,1.0,1.0,false,,df392005b5fe031086c04d47df34abbe620c81bfd258ca8e15f2254a6b3d431f,
F79,Float64,8734,0.961682,60,false,0.477011,false,0.261494,0.0,1.0,0.6218965517241379,0.432437452376635,0.0,0.0,0.92,1.0,1.0,false,,3debffb4e317246873f5fee209e56456939fa74f4748c61a9fbe1d3a0166e746,
F80,Float64,8734,0.961682,60,false,0.477011,false,0.261494,0.0,1.0,0.621551724137931,0.4324919840761569,0.0,0.0,0.92,1.0,1.0,false,,6864534b673ec1069538379ca17153edcbf945e07534be7856c09260102053b5,
F81,Float64,8938,0.984144,5,false,0.493056,false,0.451389,0.0,1.0,0.5208333333333334,0.4862919504897352,0.0,0.0,0.67,1.0,1.0,false,1.0:71; 0.0:65; 0.5:4; 0.67:2; 0.33:2,70b13e161f2cd27878610c4f864feca3549ece81783db46ab6b51b1dbb9ad02a,
F82,Float64,8938,0.984144,5,false,0.493056,false,0.451389,0.0,1.0,0.5208333333333334,0.4862919504897352,0.0,0.0,0.67,1.0,1.0,false,1.0:71; 0.0:65; 0.5:4; 0.33:2; 0.67:2,70b13e161f2cd27878610c4f864feca3549ece81783db46ab6b51b1dbb9ad02a,F81
F83,Float64,8938,0.984144,6,false,0.493056,false,0.458333,0.0,1.0,0.5190277777777779,0.49023565683087056,0.0,0.0,0.8200000000000001,1.0,1.0,false,1.0:71; 0.0:66; 0.5:4; 0.97:1; 0.67:1,96e1a7e5d4ae324630bd163f08d13b363ad1679ef9bc02c2c55499e867e2806c,
F84,Float64,8938,0.984144,6,false,0.493056,false,0.458333,0.0,1.0,0.5190277777777779,0.49023565683087056,0.0,0.0,0.8200000000000001,1.0,1.0,false,1.0:71; 0.0:66; 0.5:4; 0.97:1; 0.67:1,96e1a7e5d4ae324630bd163f08d13b363ad1679ef9bc02c2c55499e867e2806c,F83
F85,Float64,7611,0.838031,71,false,0.508498,false,0.271924,0.0,1.0,0.6241332426920462,0.4338718462671883,0.0,0.0,1.0,1.0,1.0,false,,f4bc490aaf77120bee6986a12c76e4f6ccc16cc381a57a7323468b223565b365,
F86,Float64,8724,0.960581,31,false,0.553073,false,0.217877,0.0,1.0,0.6772625698324023,0.411864941382202,0.0,0.33,1.0,1.0,1.0,false,,82771c0c20384c643f7ef95ab5db6e63f0d609ea136df4ac4e5a98cfeffd1e0e,
F87,Float64,7862,0.865668,61,false,0.509836,false,0.294262,0.0,1.0,0.6119262295081966,0.4432719009417041,0.0,0.0,1.0,1.0,1.0,false,,3728c2e542e1abf450955c392b2cd8c3558b9e737a4587eeabb3859f56791991,
F88,Float64,7611,0.838031,93,false,0.515296,false,0.273963,0.0,1.0,0.6318354860639022,0.4414704464900815,0.0,0.0,1.0,1.0,1.0,false,,1daa1666360792c60353a366a32b8df98e78da185c91d2ca49170d43221f9af4,
F89,Float64,8724,0.960581,54,false,0.555866,false,0.22067,0.0,1.0,0.6844413407821229,0.41623155844583315,0.0,0.3125,1.0,1.0,1.0,false,,0a54bbde887343e1f1ac33f885a5084f47e3a476365d821cbc05f33538e1ba2d,
F90,Float64,7862,0.865668,87,false,0.516393,false,0.295902,0.0,1.0,0.6185081967213115,0.45077554746803744,0.0,0.0,1.0,1.0,1.0,false,,4f754fe09323d3cccaa7429c50e247ed4289ae3139a44c8508d505e5bd10b093,
F91,Float64,7479,0.823497,54,false,0.370555,false,0.370555,0.0,1.0,0.4940112289457268,0.43761098426373096,0.0,0.0,0.5,1.0,1.0,false,,9650bdbd2971d6880c30cff400adb3d95385b804e67ec8aad2fbb1ad63e6d165,
F92,Float64,8617,0.9488,37,false,0.352688,false,0.346237,0.0,1.0,0.49845161290322576,0.4275262305007913,0.0,0.0,0.5,1.0,1.0,false,,7bac873dfcea2fcd8eaea3141736ca0a7bb59ad9d456f237d4c3d8188fdfb2d8,
F93,Float64,7834,0.862585,41,false,0.401442,false,0.401442,0.0,1.0,0.4955448717948717,0.45160365029623156,0.0,0.0,0.5,1.0,1.0,false,,3dd1c31fd6d7e6004052294c8706040ca56935735c27ee5b4fd8f5e730084592,
F94,Float64,7479,0.823497,100,false,0.379913,false,0.379913,0.0,1.0,0.49484092326887086,0.45721568753205616,0.0,0.0,0.5,1.0,1.0,false,,2042bf0fb67773bb6c9d392102d706a402b9fbb763fc455234b3e70de4143ac9,
F95,Float64,8617,0.9488,75,false,0.35914,false,0.350538,0.0,1.0,0.4864301075268817,0.4479330642643817,0.0,0.0,0.46,1.0,1.0,false,,37604780bd7648e0c7cef0ea286cce2f9780792c66e16c97203f0f584401b7e4,
F96,Float64,7834,0.862585,93,false,0.403846,false,0.403846,0.0,1.0,0.4996474358974359,0.46361632850615603,0.0,0.0,0.5,1.0,1.0,false,,f43fa74d33d84b864d64ffda88e3fe6734550844baa3b8054b95f6a8199b45e3,
F97,Float64,5842,0.64325,67,false,0.453395,false,0.200309,0.0,1.0,0.6187746913580247,0.39657898016362486,0.0,0.33,0.67,1.0,1.0,false,,e6b1cd213918f05cc8fb84441a10a1f81c93d50cd3010c72324e4529447f66cc,
F98,Float64,7120,0.783968,62,false,0.440367,false,0.219164,0.0,1.0,0.6001630988786952,0.40294212825151043,0.0,0.3,0.6,1.0,1.0,false,,f6cecc08df59c817bd327c2a5370d7579b026cf144ca3852c46ad93c4eb13ce2,
F99,Float64,7231,0.79619,42,false,0.552674,false,0.21772,0.0,1.0,0.6620583468395462,0.41407532890900106,0.0,0.33,1.0,1.0,1.0,false,,ef953b8a39e68b8be44fd0ec44e3ce7be51498a24cd725faab1419b65a6a3f7d,
F100,Float64,5842,0.64325,101,false,0.459259,false,0.200926,0.0,1.0,0.6342808641975308,0.4068694562739207,0.0,0.27,0.83,1.0,1.0,false,,6677b1baadb400e1078e274b937aca29c15b328d0eebf8ea20e74946e1633517,
F101,Float64,7120,0.783968,99,false,0.442915,false,0.219164,0.0,1.0,0.6132364933741081,0.40976930201037326,0.0,0.24,0.73,1.0,1.0,false,,191c90459b127c7f2ce32ca0e681423a7fc8a5c5fbadaf3942ee18f04f544eca,
F102,Float64,7231,0.79619,97,false,0.553214,false,0.21826,0.0,1.0,0.6679524581307402,0.42014940347521745,0.0,0.245,1.0,1.0,1.0,false,,30eb754daee8d1d46ba8396d2d609d03ed4840d0fa6b9ef4d6006150134b04a7,
F103,Float64,7851,0.864457,84,false,0.305443,false,0.305443,0.0,1.0,0.417051177904143,0.3792735325467479,0.0,0.0,0.37,0.705,1.0,false,,9f178cf52514a0b8614667e7891aa94c3a29c15d81e80362889ac6f3feeef9f4,
F104,Float64,8208,0.903766,62,false,0.441648,false,0.441648,0.0,1.0,0.3844279176201373,0.4202736440459304,0.0,0.0,0.22,1.0,1.0,false,,6d1bda6b30ee68c941381a8ee5b55837dcf54069d226e98e6ff758117c658173,
F105,Float64,8118,0.893856,79,false,0.261411,false,0.247925,0.0,1.0,0.4779668049792531,0.3787717852323904,0.0,0.0775,0.43,1.0,1.0,false,,d6c7ba481fa240fcb77283755b55900d4160a1389d43beb004207b042e508ee1,
F106,Float64,7851,0.864457,100,false,0.311942,false,0.311942,0.0,1.0,0.42154346060113734,0.40255405904143793,0.0,0.0,0.33,0.91,1.0,false,,b189c6b4439e133620b4f22e6ee795753cf1fc9cdd397c2ab605b810abd72bc0,
F107,Float64,8208,0.903766,90,false,0.44508,false,0.44508,0.0,1.0,0.3907437070938215,0.43150104749998014,0.0,0.0,0.18,1.0,1.0,false,,bb899304db8562a5f417f697252d3832f3a24d4851d67f617c1478a5ebf58829,
